SSID,BSSID,Encryption,CurrentLatitude,CurrentLongitude,Channel,Frequency,Last Update
VerizonMiFi7730L5F12,00:15:FF:EA:2F:4E,wpa2,32.00892464,-102.099336,11,,2021-12-15T09:00:00.000Z
Kinzie,00:16:B6:60:70:1C,none,32.011394,-102.092346,6,,2022-07-11T20:00:00.000Z
bobbycox,00:17:C5:48:20:3D,wpa2,32.01037715,-102.101733,2,,2022-07-11T20:00:00.000Z
LAURAANNS,00:18:3F:93:F3:A1,wep,31.99845134,-102.095757,6,,2022-07-11T20:00:00.000Z
2WIRE260,00:18:3F:C3:40:89,wep,31.99802061,-102.093401,6,,2022-07-11T20:00:00.000Z
KRISHNA,00:18:6E:90:1C:80,wpa2,31.9983715,-102.0886423,1,,2022-07-11T20:00:00.000Z
cheekagirl,00:18:F8:55:8E:0F,wpa,32.01009811,-102.095883,6,,2022-07-11T20:00:00.000Z
Flowerland,00:18:F8:5C:41:E1,wpa,31.99639043,-102.1015412,6,,2022-07-11T20:00:00.000Z
2WIRE091,00:19:E4:A7:B3:01,wep,32.00705378,-102.0939311,1,,2022-07-11T20:00:00.000Z
VIZIOCastDisplay4233,00:1A:11:FF:36:7F,none,32.00792956,-102.0855697,6,,2023-05-15T23:00:00.000Z
VIZIOCastDisplay5325,00:1A:11:FF:41:29,none,32.0099042,-102.102324,11,,2022-04-01T00:00:00.000Z
VIZIOCastDisplay7251,00:1A:11:FF:45:FE,none,32.00933045,-102.0883249,6,,2022-04-08T04:00:00.000Z
THRpeplink08,00:1A:DD:54:7C:50,wpa2,32.00801278,-102.0938364,1,,2022-07-29T20:00:00.000Z
3145 4376,00:21:1E:66:79:E0,wpa2,32.00694646,-102.0987269,1,,2022-07-11T20:00:00.000Z
MMHWirelessGuest,00:21:55:B3:A3:E1,none,32.011681,-102.100631,1,,2022-07-11T20:00:00.000Z
MMHWirelessGuest,00:21:55:B4:70:51,none,32.00903732,-102.1012817,6,,2022-07-11T20:00:00.000Z
dd-wrt,00:22:6B:6B:39:E5,none,32.00338567,-102.1018393,6,,2022-07-11T20:00:00.000Z
SARAH-PC_Network,00:22:75:12:13:DB,wpa,32.01149356,-102.0919251,6,,2022-07-11T20:00:00.000Z
2506MWC,00:23:68:47:E1:60,wpa2,32.005798,-102.0951377,36,,2022-03-20T02:00:00.000Z
2506MWC,00:23:68:47:E2:E0,wpa2,31.99735183,-102.091565,6,,2023-06-11T16:00:00.000Z
p39Txd7w,00:23:68:95:FC:F0,wpa2,31.99833676,-102.0862586,1,,2022-07-11T20:00:00.000Z
j47CiX6f,00:23:68:95:FC:F1,wpa2,32.008476,-102.087669,1,,2022-07-11T20:00:00.000Z
HICKSJS.COM,00:23:69:3F:83:B4,wep,31.99776336,-102.0860725,1,,2022-07-11T20:00:00.000Z
linksys,00:23:69:D5:FE:7D,none,32.00415974,-102.0847682,6,,2022-07-11T20:00:00.000Z
dd-wrt,00:23:69:DE:DE:7D,unknown,32.00881556,-102.0905151,36,,2022-07-11T20:00:00.000Z
dd-wrt,00:23:69:DE:DE:7E,unknown,32.01001913,-102.1018653,8,,2022-07-11T20:00:00.000Z
Triple Threat,00:24:C8:99:75:A0,wep,31.99633242,-102.1016047,6,,2022-07-11T20:00:00.000Z
autonet-E71B,00:24:CB:04:E7:1B,unknown,31.99662323,-102.0948034,6,,2022-03-09T05:00:00.000Z
Blackvue900XPlusE7766A,00:25:42:E7:76:6A,wpa2,32.00375195,-102.0986859,157,,2022-07-29T20:00:00.000Z
PNet6114790,00:25:CA:51:5B:9F,wpa2,31.99954867,-102.0909751,6,,2022-12-12T07:00:00.000Z
KeepTruckin Hotspot - 01605720,00:25:CA:60:B1:E1,wpa2,32.00193978,-102.0937269,7,,2022-11-27T13:00:00.000Z
sdp5g,00:25:CA:6B:DE:AB,wpa2,32.01155072,-102.0999306,1,,2023-04-29T22:00:00.000Z
KeepTruckin Hotspot - HC084148,00:25:CA:70:77:15,wpa2,31.99801147,-102.1014206,6,,2022-11-27T13:00:00.000Z
KeepTruckinHotspotHC084083,00:25:CA:70:79:85,wpa2,32.00579009,-102.0909768,6,,2023-05-15T22:00:00.000Z
Motive AABL36KD035681,00:25:CA:83:AB:A3,wpa2,32.00707778,-102.0982549,6,,2023-06-11T17:00:00.000Z
tl601738,00:25:F0:60:17:38,wpa2,31.99889044,-102.0894027,10,,2024-05-30T17:00:00.000Z
tl73bc0e,00:25:F0:73:BC:0E,wpa2,32.002547,-102.083137,10,,2023-06-11T17:00:00.000Z
tla35a60,00:25:F0:A3:5A:60,wpa2,32.00842009,-102.0909382,6,,2022-01-25T23:00:00.000Z
tla59674,00:25:F0:A5:96:74,wpa2,32.005591,-102.091819,1,,2024-05-30T17:00:00.000Z
2WIRE747,00:26:50:8F:BA:A9,wep,32.00386333,-102.0860517,3,,2022-07-11T20:00:00.000Z
MMH-Med-Wireless,00:26:99:36:B8:50,wpa2,32.008633,-102.090865,11,,2022-07-11T20:00:00.000Z
MMH-Guest,00:26:99:36:B8:51,wpa2,32.00758926,-102.0854604,11,,2022-07-11T20:00:00.000Z
MMH-Med-Wireless,00:26:99:36:B8:52,wpa2,32.00755071,-102.1005839,11,,2022-07-11T20:00:00.000Z
MMH-Guest,00:26:99:36:B8:53,wpa2,32.00950089,-102.0880442,6,,2022-07-11T20:00:00.000Z
mmhsecuredclient,00:26:99:36:B8:55,wpa2,31.9985091,-102.0943389,6,,2022-07-11T20:00:00.000Z
SPACELABS,00:26:99:36:B8:57,wpa2,32.00536435,-102.0964742,6,,2022-07-11T20:00:00.000Z
mmhsecureguest,00:26:99:36:B8:58,wpa2,32.00426734,-102.0857796,6,,2022-07-11T20:00:00.000Z
MMH-wpa2link,00:26:99:36:B8:5A,wpa2,32.00492734,-102.0902757,6,,2022-07-11T20:00:00.000Z
MMH-Wireless,00:26:99:36:D4:C0,wpa2,32.00535041,-102.0925985,1,,2022-07-11T20:00:00.000Z
MMH-Wireless-Voice,00:26:99:36:D4:C1,wpa2,32.00862425,-102.1006412,1,,2022-07-11T20:00:00.000Z
MMH-Med-Wireless,00:26:99:36:D4:C2,wpa2,32.00237664,-102.1002097,1,,2022-07-11T20:00:00.000Z
MMH-Guest,00:26:99:36:D4:C3,none,32.00794569,-102.1009562,1,,2022-07-11T20:00:00.000Z
SPACELABS,00:26:99:36:D4:C9,wpa2,31.997234,-102.0847018,1,,2022-07-11T20:00:00.000Z
MMH-Med-Wireless,00:26:99:36:D5:20,wpa2,31.997179,-102.0874857,11,,2022-07-11T20:00:00.000Z
MMH-Guest,00:26:99:36:D5:21,wpa2,32.007766,-102.085517,11,,2022-07-11T20:00:00.000Z
MMH-Med-Wireless,00:26:99:36:D5:22,wpa2,32.00067342,-102.0893684,6,,2022-07-11T20:00:00.000Z
MMH-Guest,00:26:99:36:D5:23,none,31.99657524,-102.0946046,6,,2022-07-11T20:00:00.000Z
SPACELABS,00:26:99:36:D5:27,wpa2,32.00933067,-102.094416,11,,2022-07-11T20:00:00.000Z
mmhsecureguest,00:26:99:36:D5:28,wpa2,32.00993144,-102.0833504,11,,2022-07-11T20:00:00.000Z
SPACELABS,00:26:99:36:D5:29,wpa2,32.00798266,-102.0910259,6,,2022-07-11T20:00:00.000Z
MMH-wpa2link,00:26:99:36:D5:2A,wpa2,32.009493,-102.0842076,11,,2022-07-11T20:00:00.000Z
MMH-Guest,00:26:99:36:E3:82,unknown,32.01185801,-102.0914786,6,,2022-07-11T20:00:00.000Z
MMH-Med-Wireless,00:26:99:36:E3:89,wpa2,32.00489839,-102.0946275,6,,2022-07-11T20:00:00.000Z
MMH-wpa2link,00:26:99:36:E3:8C,wpa2,32.01102242,-102.0853351,6,,2022-07-11T20:00:00.000Z
MMH-Guest,00:26:99:36:E3:A0,wpa2,31.99930058,-102.092056,11,,2022-07-11T20:00:00.000Z
MMH-Wireless-Voice,00:26:99:36:E3:A1,wpa2,32.008476,-102.087669,11,,2022-07-11T20:00:00.000Z
MMH-Med-Wireless,00:26:99:36:E3:A2,wpa2,32.00387012,-102.1000361,11,,2022-07-11T20:00:00.000Z
MMH-Guest,00:26:99:36:E3:A3,wpa,31.99654644,-102.0855462,11,,2022-07-11T20:00:00.000Z
mmhsecuredclient,00:26:99:36:E3:A4,wpa2,32.00869356,-102.0908444,11,,2022-07-11T20:00:00.000Z
SPACELABS,00:26:99:36:E3:A6,wpa2,32.002264,-102.0875307,11,,2022-07-11T20:00:00.000Z
MMH-wpa2link,00:26:99:36:E3:A9,wpa2,32.00897995,-102.0991003,11,,2022-07-11T20:00:00.000Z
mmhsecureguest,00:26:99:36:E3:AB,wpa2,32.002539,-102.091346,11,,2022-07-11T20:00:00.000Z
MMH-Guest,00:26:99:A2:0B:70,wpa2,32.00513056,-102.0979978,1,,2022-07-11T20:00:00.000Z
MMH-Med-Wireless,00:26:99:A2:0B:71,wpa2,31.99891433,-102.0981999,1,,2022-07-11T20:00:00.000Z
MMH-Med-Wireless,00:26:99:A2:0B:72,wpa2,31.99858833,-102.0887069,1,,2022-07-11T20:00:00.000Z
MMH-Guest,00:26:99:A2:0B:73,none,32.00480144,-102.1022935,11,,2022-07-11T20:00:00.000Z
mmhsecuredclient,00:26:99:A2:0B:74,wpa2,31.99924411,-102.1017323,1,,2022-07-11T20:00:00.000Z
mmhsecureguest,00:26:99:A2:0B:77,wpa2,32.011227,-102.084457,1,,2022-07-11T20:00:00.000Z
MMH-wpa2link,00:26:99:A2:0B:79,wpa2,31.99841654,-102.0914396,1,,2022-07-11T20:00:00.000Z
SYNC_XMC91R04,00:26:B4:12:F3:36,wep,32.01262087,-102.0964331,1,,2022-07-13T08:00:00.000Z
SYNC_XMCN1Q11,00:26:B4:13:B3:96,wpa2,32.000742,-102.0907619,1,,2022-12-09T00:00:00.000Z
TEAM RAM ROD,00:26:B4:4C:8E:48,wep,32.00239702,-102.1015218,1,,2022-07-16T06:00:00.000Z
JOSKI RADIO,00:26:B4:68:16:1B,wpa2,32.008514,-102.101119,1,,2022-07-11T20:00:00.000Z
SYNC_XT1EBLL4,00:26:B4:6E:11:F4,wpa2,32.00343186,-102.0919327,1,,2022-07-11T20:00:00.000Z
SYNC_XT4TNLGB,00:26:B4:79:87:BA,wpa2,32.00325371,-102.0947966,1,,2023-02-10T16:00:00.000Z
SYNCYT935XN5,00:26:B4:89:7C:2E,wpa2,31.9977654,-102.08974,1,,2022-03-25T13:00:00.000Z
SYNCYTB2BL4C,00:26:B4:93:E0:A4,wpa2,32.01143611,-102.09289,1,,2022-03-25T13:00:00.000Z
SYNC_YTC8CX0P,00:26:B4:98:52:BA,wpa2,32.00239394,-102.0950701,1,,2021-12-19T20:00:00.000Z
SYNC_YU2W02T4,00:26:B4:A3:37:F4,wpa2,32.00922744,-102.0980409,1,,2022-07-11T20:00:00.000Z
BIGBAD,00:26:B4:C4:BF:35,wpa2,31.99684798,-102.1003736,1,,2022-07-11T20:00:00.000Z
SYNC_XW2DRMWR,00:26:B4:E3:4E:40,wpa2,31.99813056,-102.0971476,1,,2023-04-29T22:00:00.000Z
genwep,00:27:0D:2E:86:0E,wep,31.99954233,-102.101829,36,,2022-04-28T00:00:00.000Z
CradlepointLP,00:30:44:1E:CD:32,wpa,32.011604,-102.100021,9,,2022-04-19T22:00:00.000Z
Truck #16206-5g,00:30:44:29:F2:02,wpa2,32.0055496,-102.0886011,36,,2021-09-17T04:00:00.000Z
IBR1100-e43,00:30:44:31:1E:43,wpa2,32.00647224,-102.0925726,1,,2021-10-20T23:00:00.000Z
IBR1100-e43-5g,00:30:44:31:1E:45,wpa2,32.003951,-102.085678,36,,2021-10-20T23:00:00.000Z
IBR1100-e52,00:30:44:31:1E:52,wpa2,31.996556,-102.0900953,1,,2022-07-11T20:00:00.000Z
IBR1100-ffc,00:30:44:31:1F:FC,wpa,32.0050712,-102.0939278,6,,2024-06-05T17:00:00.000Z
EMS_WiFi-5G,00:30:44:31:20:0A,wpa2,32.00355,-102.0903037,36,,2024-09-11T02:00:00.000Z
EMS_WiFi,00:30:44:31:20:38,wpa2,32.00526523,-102.0928568,6,,2024-12-06T06:00:00.000Z
IBR11000385g,00:30:44:31:20:3A,wpa,32.00923278,-102.0943847,36,,2021-09-20T20:00:00.000Z
IBR110004a,00:30:44:31:20:4A,wpa,32.01192513,-102.0846872,1,,2022-03-17T20:00:00.000Z
IBR110004a5g,00:30:44:31:20:4C,wpa,32.0029521,-102.0945492,44,,2022-03-17T20:00:00.000Z
IBR11000fb,00:30:44:31:20:FB,wpa,31.99993089,-102.0982714,1,,2021-12-15T09:00:00.000Z
IBR11000fb5g,00:30:44:31:20:FD,wpa,32.00666445,-102.0921704,36,,2021-12-15T09:00:00.000Z
IBR11001405g,00:30:44:31:21:42,wpa,32.00342324,-102.0961889,44,,2022-03-25T13:00:00.000Z
IBR1100-221,00:30:44:31:22:21,wpa2,32.01155167,-102.0967407,11,,2022-07-11T20:00:00.000Z
IBR1100-221-5g,00:30:44:31:22:23,wpa2,32.00188744,-102.0862088,36,,2022-07-11T20:00:00.000Z
IBR1100-3dd,00:30:44:31:23:DD,wpa2,32.00984978,-102.0844194,11,,2023-07-04T17:00:00.000Z
IBR1100-452,00:30:44:31:24:52,wpa,32.00321289,-102.0854346,1,,2022-12-19T17:00:00.000Z
IBR1100-461-5g,00:30:44:31:24:63,wpa2,31.99670433,-102.0894726,40,,2023-03-12T15:00:00.000Z
IBR1100-14a-5g,00:30:44:32:11:4C,wpa2,32.007722,-102.0870802,36,,2023-10-17T11:00:00.000Z
IBR900-30f-5g,00:30:44:38:43:11,wpa2,31.99628144,-102.0866602,157,,2023-04-08T21:00:00.000Z
Greetan,00:30:44:39:77:20,wpa2,31.998943,-102.0980753,6,,2024-10-11T04:00:00.000Z
IBR900-97b-5g,00:30:44:44:29:7D,wpa2,32.012984,-102.097198,157,,2024-11-25T21:00:00.000Z
R1900-cf8-5g,00:30:44:67:6C:FA,wpa,31.99735078,-102.0955842,100,,2024-06-05T20:00:00.000Z
R1900-ec0-5g,00:30:44:68:6E:C2,wpa2,32.00272234,-102.101626,100,,2024-10-24T12:00:00.000Z
IBR1700-6a8,00:30:44:80:16:A9,wpa2,31.99835872,-102.0916899,6,,2023-11-24T20:00:00.000Z
IBR1700-6a8-5g,00:30:44:80:16:AB,wpa2,32.00513922,-102.0979571,161,,2023-11-24T20:00:00.000Z
MMH2201_5g,00:30:44:86:6D:73,wpa2,31.99906832,-102.091575,36,,2024-09-12T15:00:00.000Z
IBR900-42a,00:30:44:9A:64:2B,wpa2,32.003277,-102.084197,1,,2024-10-07T23:00:00.000Z
IBR900-42a-5g,00:30:44:9A:64:2C,wpa2,32.01249829,-102.1003624,161,,2024-10-07T23:00:00.000Z
IBR900-f4b-5g,00:30:44:9B:9F:4D,wpa2,32.004642,-102.087104,157,,2024-09-12T15:00:00.000Z
OneHope-Internal,00:31:92:8A:60:0A,wpa2,32.00141467,-102.1022366,11,,2023-06-11T16:00:00.000Z
OneHopeInternal,00:31:92:8A:60:0B,wpa2,32.00416788,-102.091842,36,,2023-05-15T22:00:00.000Z
MMH-Guest,00:3A:98:09:1D:E0,wpa2,31.9972662,-102.0919411,1,,2022-07-11T20:00:00.000Z
MMH-Wireless-Voice,00:3A:98:09:1D:E1,wpa2,32.00132967,-102.0837159,6,,2022-07-11T20:00:00.000Z
MMH-Guest,00:3A:98:09:1D:E3,wpa,32.00980084,-102.0908231,1,,2022-07-11T20:00:00.000Z
SPACELABS,00:3A:98:09:1D:E6,wpa2,32.0052507,-102.0964373,1,,2022-07-11T20:00:00.000Z
mmhsecureguest,00:3A:98:09:1D:EB,wpa2,32.01162593,-102.0845886,1,,2022-07-11T20:00:00.000Z
MMH-Guest,00:3A:98:09:27:20,wpa2,31.99941634,-102.1004345,11,,2022-07-11T20:00:00.000Z
MMH-Med-Wireless,00:3A:98:09:27:22,wpa2,32.01155167,-102.0869299,11,,2022-07-11T20:00:00.000Z
MMH-Guest,00:3A:98:09:27:23,wpa,31.99957864,-102.0874423,11,,2022-07-11T20:00:00.000Z
mmhsecuredclient,00:3A:98:09:27:24,wpa2,32.00186012,-102.0939248,11,,2022-07-11T20:00:00.000Z
SPACELABS,00:3A:98:09:27:26,wpa2,32.00374633,-102.0880147,11,,2022-07-11T20:00:00.000Z
MMH-wpa2link,00:3A:98:09:27:28,wpa2,32.00612076,-102.0852731,11,,2022-07-11T20:00:00.000Z
MMH-Med-Wireless,00:3A:98:1E:72:30,wpa2,32.00405096,-102.0918375,11,,2022-07-11T20:00:00.000Z
MMH-Guest,00:3A:98:1E:72:31,wpa2,32.00085832,-102.0834259,11,,2022-07-11T20:00:00.000Z
MMH-Med-Wireless,00:3A:98:1E:72:32,wpa2,31.99961,-102.08667,11,,2022-07-11T20:00:00.000Z
MMH-Guest,00:3A:98:1E:72:33,wpa2,32.00462979,-102.10026,11,,2022-07-11T20:00:00.000Z
mmhsecuredclient,00:3A:98:1E:72:35,wpa2,32.00732615,-102.0887364,11,,2022-07-11T20:00:00.000Z
SPACELABS,00:3A:98:1E:72:37,wpa2,32.01162278,-102.100363,11,,2022-07-11T20:00:00.000Z
mmhsecureguest,00:3A:98:1E:72:38,wpa2,32.006198,-102.093414,11,,2022-07-11T20:00:00.000Z
MMH-wpa2link,00:3A:98:1E:72:3A,wpa2,32.00996007,-102.0839108,11,,2022-07-11T20:00:00.000Z
MMH-Guest,00:3A:98:1E:72:E3,wpa2,32.00553033,-102.0920849,6,,2022-07-11T20:00:00.000Z
MMH-Wireless,00:3A:98:1E:73:10,wpa2,32.006278,-102.0972713,1,,2022-07-11T20:00:00.000Z
MMH-Med-Wireless,00:3A:98:1E:73:12,wpa2,32.00381262,-102.0946,1,,2022-07-11T20:00:00.000Z
MMH-Guest,00:3A:98:1E:73:13,none,32.01281166,-102.0971443,1,,2022-07-11T20:00:00.000Z
MMH-Guest,00:3A:98:1E:77:40,wpa2,31.99866044,-102.0903923,6,,2022-07-11T20:00:00.000Z
MMH-Med-Wireless,00:3A:98:1E:77:41,wpa2,32.01030622,-102.0927307,6,,2022-07-11T20:00:00.000Z
MMH-Med-Wireless,00:3A:98:1E:77:42,wpa2,31.99956182,-102.0953853,6,,2022-07-11T20:00:00.000Z
mmhsecuredclient,00:3A:98:1E:77:44,wpa2,32.00220678,-102.0863131,6,,2022-07-11T20:00:00.000Z
SPACELABS,00:3A:98:1E:77:46,wpa2,31.99820011,-102.0958562,6,,2022-07-11T20:00:00.000Z
mmhsecureguest,00:3A:98:1E:77:47,wpa2,32.00002376,-102.1032146,6,,2022-07-11T20:00:00.000Z
MMH-wpa2link,00:3A:98:1E:77:49,wpa2,32.00713756,-102.0979998,6,,2022-07-11T20:00:00.000Z
MMHWirelessGuest,00:3A:98:1E:77:91,wpa,32.01152367,-102.092918,6,,2022-07-11T20:00:00.000Z
MMH-Guest,00:3A:98:1E:77:92,unknown,32.00414489,-102.1016449,1,,2022-07-11T20:00:00.000Z
mmhsecuredclient,00:3A:98:1E:77:94,wpa2,32.006198,-102.093414,1,,2022-07-11T20:00:00.000Z
SPACELABS,00:3A:98:1E:77:97,wpa2,31.99647574,-102.096488,6,,2022-07-11T20:00:00.000Z
MMH-Med-Wireless,00:3A:98:1E:77:99,wpa2,32.00182078,-102.096146,1,,2022-07-11T20:00:00.000Z
MMHWirelessGuest,00:3A:98:1E:7D:01,none,32.00576222,-102.0862612,11,,2022-07-11T20:00:00.000Z
MMH-Med-Wireless,00:3A:98:1E:7E:B0,wpa2,32.003493,-102.091659,1,,2022-07-11T20:00:00.000Z
MMH-Guest,00:3A:98:1E:7E:B1,wpa2,31.999657,-102.094703,1,,2022-07-11T20:00:00.000Z
MMH-Guest,00:3A:98:1E:7E:B3,wpa2,32.006595,-102.095901,1,,2022-07-11T20:00:00.000Z
mmhsecuredclient,00:3A:98:1E:7E:B5,wpa2,32.01099822,-102.0975963,1,,2022-07-11T20:00:00.000Z
SPACELABS,00:3A:98:1E:7E:B7,wpa2,32.00060389,-102.0908662,1,,2022-07-11T20:00:00.000Z
mmhsecureguest,00:3A:98:1E:7E:B8,wpa2,31.99945446,-102.1003172,1,,2022-07-11T20:00:00.000Z
MMH-wpa2link,00:3A:98:1E:7E:BA,wpa2,32.00886533,-102.0950593,1,,2022-07-11T20:00:00.000Z
MMH-Wireless,00:3A:98:1E:80:50,wpa2,32.001462,-102.0860697,6,,2022-07-11T20:00:00.000Z
MMH-Wireless-Voice,00:3A:98:1E:80:51,wpa2,32.00409478,-102.0975388,6,,2022-07-11T20:00:00.000Z
MMH-Med-Wireless,00:3A:98:1E:80:52,wpa2,32.00849905,-102.0874575,6,,2022-07-11T20:00:00.000Z
MMH-Guest,00:3A:98:1E:80:53,none,32.00646094,-102.0864924,6,,2022-07-11T20:00:00.000Z
SPACELABS,00:3A:98:1E:80:59,wpa2,32.01223877,-102.0997873,6,,2022-07-11T20:00:00.000Z
MMHWirelessGuest,00:3A:98:1E:89:51,none,32.006687,-102.0955093,1,,2022-07-11T20:00:00.000Z
MMH-Guest,00:3A:98:1E:8C:F0,wpa2,32.00002168,-102.0868039,11,,2022-07-11T20:00:00.000Z
MMH-Med-Wireless,00:3A:98:1E:8C:F1,wpa2,32.00516191,-102.0916774,11,,2022-07-11T20:00:00.000Z
