MAC,SSID,AuthMode,FirstSeen,Channel,Frequency,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,RCOIs,MfgrId,Type
04:f0:21:91:f2:e7,Cricket-Demo,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 01:59,1,2412,-86,31.9948676,-102.1110973,833.1257868,6,,,WIFI
32:e7:c0:2a:d4:51,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 02:00,36,5180,-85,31.995482,-102.111297,833.1257868,6,,,WIFI
a0:04:60:13:9e:69,NETGEAR97,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 02:00,4,2427,-89,31.994193,-102.110878,833.1257868,6,,,WIFI
9e:a3:a9:8d:7d:7e,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 02:00,8,2447,-85,31.9936546,-102.1106907,833.1257868,6,,,WIFI
58:07:f8:34:62:48,LuRue,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 02:00,48,5240,-89,31.9935547,-102.1106567,833.1257868,6,,,WIFI
88:dc:96:45:92:6a,312,[WEP][ESS],25/10/2024 02:00,11,2462,-65,31.9935185,-102.1106435,833.1257868,6,,,WIFI
fa:9e:38:70:84:91,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 02:01,44,5220,-89,31.993168,-102.1105224,833.1257868,6,,,WIFI
f8:9b:6e:2a:32:fc,ATTQZ6xR3A,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 02:01,132,5660,-79,31.992895,-102.110428,833.1257868,6,,,WIFI
9e:a3:a9:83:86:f0,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 02:02,8,2447,-79,31.993565,-102.113517,833.1257868,6,,,WIFI
c6:9e:38:70:84:91,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 02:02,44,5220,-89,31.992913,-102.116264,833.1257868,6,,,WIFI
9e:a3:a9:83:88:5c,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 02:02,8,2447,-80,31.993565,-102.113517,833.1257868,6,,,WIFI
f8:9b:6e:2a:32:ff,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 02:02,132,5660,-82,31.994193,-102.110878,833.1257868,6,,,WIFI
f8:9b:6e:2a:32:f8,ATTQZ6xR3A,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 02:02,48,5240,-77,31.993565,-102.113517,833.1257868,6,,,WIFI
dc:8d:8a:78:99:2f,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 02:03,161,5805,-87,31.9942386,-102.113736,833.1257868,6,,,WIFI
a8:fb:40:9f:f9:68,ATTbjzdIFB,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 02:03,52,5260,-84,31.994903,-102.113952,833.1257868,6,,,WIFI
04:f0:21:5d:49:b7,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 02:03,1,2412,-85,31.993565,-102.113517,833.1257868,6,,,WIFI
dc:8d:8a:78:99:28,Diva Nails,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 02:03,36,5180,-87,31.993402,-102.113464,833.1257868,6,,,WIFI
08:3a:2f:11:bb:58,NVR083a2f11bb58,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 02:04,8,2447,-84,31.9929324,-102.1133157,833.1257868,6,,,WIFI
02:68:eb:6e:0d:a6,DIRECT-A6-HP OfficeJet 5200,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 02:04,11,2462,-83,31.992291,-102.113113,835.0699778,6,,,WIFI
4c:eb:bd:f3:31:47,MyAltice f33144,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 02:04,11,2462,-80,31.992913,-102.116264,835.0699778,6,,,WIFI
22:ad:56:a8:66:8f,Hotspot668F,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][ESS],25/10/2024 02:05,11,2462,-87,31.992247,-102.119072,835.0699778,6,,,WIFI
f8:9b:6e:2a:32:ff,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 02:05,132,5660,-77,31.992913,-102.116264,835.0699778,6,,,WIFI
f8:9b:6e:2a:32:f8,ATTQZ6xR3A,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 02:05,48,5240,-71,31.993565,-102.113517,835.0699778,6,,,WIFI
a8:fb:40:9f:f9:64,ATTbjzdIFB,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 02:06,6,2437,-77,31.992913,-102.116264,835.0699778,6,,,WIFI
dc:8d:8a:78:99:24,Diva Nails,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 02:07,6,2437,-71,31.9934177,-102.1164299,835.0699778,6,,,WIFI
dc:8d:8a:78:99:25,Diva Nails_Guest,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 02:07,6,2437,-73,31.993865,-102.116577,835.0699778,6,,,WIFI
9e:a3:a9:90:da:e2,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 02:07,8,2447,-81,31.992913,-102.116264,835.0699778,6,,,WIFI
60:38:e0:96:6d:de,Linksys06845_5GHz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 02:07,36,5180,-85,31.9922877,-102.1160564,834.8139015,6,,,WIFI
58:07:f8:34:62:44,LuRue,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 02:07,11,2462,-84,31.9920832,-102.1159882,834.8139015,6,,,WIFI
ba:9f:09:7d:85:ba,Jimmys Denali,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 02:08,44,5220,-76,31.991648,-102.115844,834.8139015,6,,,WIFI
9e:a3:a9:8d:78:63,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 02:08,8,2447,-86,31.992247,-102.119072,834.8139015,6,,,WIFI
94:4e:5b:17:bf:c4,MyOptimum 17bfc1,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 02:08,1,2412,-84,31.991928,-102.120414,834.8139015,6,,,WIFI
08:3a:2f:11:bb:58,NVR083a2f11bb58,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 02:09,8,2447,-78,31.992247,-102.119072,834.8139015,6,,,WIFI
9e:a3:a9:90:da:e2,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 02:09,8,2447,-74,31.992913,-102.116264,834.8139015,6,,,WIFI
48:8f:4c:c4:d7:86,smartBox-87D6,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 02:09,36,5180,-91,31.992247,-102.119072,834.4558889,6,,,WIFI
08:36:c9:8a:f9:f3,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 02:09,10,2457,-81,31.992408,-102.119117,835.8276281,6,,,WIFI
74:78:a6:eb:b6:b8,DM1M1E8N6U,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 02:10,165,5825,-79,31.9926872,-102.119183,835.8276281,6,,,WIFI
0e:f0:21:91:f2:e7,CricketPOS,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 02:10,1,2412,-82,31.992958,-102.119247,835.8276281,6,,,WIFI
06:f0:21:5d:49:b7,vc-wifi-guest,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 02:11,1,2412,-81,31.993112,-102.11927,835.8276281,6,,,WIFI
ba:9f:09:6d:85:ba,Jimmys Denali,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 02:11,6,2437,-74,31.992247,-102.119072,835.8276281,6,,,WIFI
9a:49:14:22:6a:41,myChevrolet 6a41,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 02:11,1,2412,-79,31.992119,-102.119026,835.8276281,6,,,WIFI
0a:f0:21:91:f2:e7,Cricket-Guest,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 02:11,1,2412,-85,31.9916216,-102.1188646,835.8276281,6,,,WIFI
94:4e:5b:17:bf:c4,MyOptimum 17bfc1,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 02:11,1,2412,-79,31.990988,-102.118659,835.8276281,6,,,WIFI
9e:a3:a9:8d:80:ab,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 02:12,8,2447,-82,31.991928,-102.120414,835.8276281,6,,,WIFI
66:05:e4:62:18:98,Uconnect-36663238,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 02:12,36,5180,-89,31.991666,-102.12152,835.8276281,6,,,WIFI
22:ad:56:2a:d2:4c,HotspotD24C,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][ESS],25/10/2024 02:13,6,2437,-78,31.991928,-102.120414,835.0659052,8,,,WIFI
ec:65:cc:9b:0f:c6,Uconnect_Hotspot_64607,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 02:13,157,5785,-81,31.992247,-102.119072,832.1889035,8,,,WIFI
22:ad:56:2b:2a:fe,Hotspot2AFE,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][ESS],25/10/2024 02:14,6,2437,-65,31.991928,-102.120414,832.1889035,8,,,WIFI
22:ad:56:b4:81:50,Hotspot8150,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][ESS],25/10/2024 02:14,6,2437,-81,31.9915711,-102.1202986,829.3845186,8,,,WIFI
22:ad:56:42:e5:73,HotspotE573,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][ESS],25/10/2024 02:14,1,2412,-83,31.9913083,-102.1202136,826.5655499,6,,,WIFI
ba:9f:09:86:59:10,myChevrolet,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 02:15,11,2462,-83,31.990679,-102.12001,825.6612472,6,,,WIFI
ec:65:cc:9b:0f:c6,Uconnect_Hotspot_64607,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 02:15,157,5785,-73,31.991666,-102.12152,825.6612472,6,,,WIFI
9e:a3:a9:8d:7e:99,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 02:15,8,2447,-81,31.991444,-102.122451,825.6612472,6,,,WIFI
22:ad:56:33:df:0e,HotspotDF0E,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][ESS],25/10/2024 02:15,11,2462,-89,31.991666,-102.12152,825.0575749,6,,,WIFI
a0:04:60:13:9e:69,NETGEAR97,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 02:15,4,2427,-84,31.991928,-102.120414,825.1938622,6,,,WIFI
2a:07:eb:a4:d3:e9,myChevrolet8730,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 02:16,44,5220,-90,31.991666,-102.12152,825.1938622,6,,,WIFI
22:ad:56:46:db:39,HotspotDB39,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][ESS],25/10/2024 02:16,11,2462,-78,31.9921052,-102.1216642,825.1938622,6,,,WIFI
9e:a3:a9:8d:7d:7e,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 02:16,8,2447,-80,31.992409,-102.121764,824.6691364,6,,,WIFI
e0:2d:f0:22:79:3e,Smartphone_connect_22793e,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 02:16,36,5180,-89,31.99253,-102.121818,824.300275,6,,,WIFI
22:ad:56:3c:09:d7,Hotspot09D7,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][ESS],25/10/2024 02:17,6,2437,-89,31.991666,-102.12152,824.300275,6,,,WIFI
b4:63:6f:11:a4:f4,ATTisG8hqs,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 02:17,11,2462,-89,31.9913066,-102.121401,823.6364702,6,,,WIFI
b2:00:73:bd:f5:f5,myChevrolet,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 02:18,1,2412,-84,31.990422,-102.121108,823.3721194,4,,,WIFI
a4:cf:d2:de:28:ae,MyOptimum de28ab,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 02:18,1,2412,-90,31.991444,-102.122451,823.1306226,4,,,WIFI
ac:df:9f:91:dd:68,TMOBILE-DD66,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS],25/10/2024 02:18,5,2432,-69,31.991224,-102.123382,822.6576085,4,,,WIFI
c4:49:bb:87:37:87,Silverado,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][ESS],25/10/2024 02:18,11,2462,-83,31.991444,-102.122451,822.6576085,4,,,WIFI
fa:25:fe:2e:87:18,myChevrolet9371,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 02:19,1,2412,-81,31.991666,-102.12152,822.1221594,4,,,WIFI
f0:ab:54:26:b5:0c,My Cruze,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][ESS],25/10/2024 02:19,6,2437,-85,31.991444,-102.122451,822.1221594,4,,,WIFI
9e:a3:a9:8d:78:63,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 02:19,8,2447,-77,31.9910808,-102.1223327,821.953371,4,,,WIFI
f8:9b:6e:2a:32:f4,ATTQZ6xR3A,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 02:19,11,2462,-63,31.990204,-102.122047,821.953371,4,,,WIFI
84:eb:3e:e1:35:79,tle13578,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 02:20,11,2462,-89,31.991224,-102.123382,821.8967762,4,,,WIFI
fa:6d:cc:c6:89:a1,myGMC 89A1,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 02:21,7,2442,-85,31.991444,-102.122451,821.8967762,4,,,WIFI
fa:6d:cc:dd:dc:43,myGMC DC43,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 02:21,44,5220,-90,31.991224,-102.123382,821.9632707,4,,,WIFI
fa:6d:cc:bd:dc:43,myGMC DC43,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 02:22,7,2442,-83,31.990865,-102.1232694,821.9632707,4,,,WIFI
00:54:af:84:ba:81,HotspotBA81,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],25/10/2024 02:23,8,2447,-80,31.9907897,-102.1232457,821.9632707,4,,,WIFI
22:ad:56:b6:aa:62,HotspotAA62,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][ESS],25/10/2024 02:23,6,2437,-85,31.989984,-102.122993,821.9632707,4,,,WIFI
c8:c7:50:fd:ef:46,MOTO1FA0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 02:23,11,2462,-88,31.991224,-102.123382,821.9462748,4,,,WIFI
8c:85:80:d2:89:03,,[WPA-PSK-CCMP][WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 02:23,11,2462,-87,31.9910182,-102.124286,821.8343156,4,,,WIFI
f8:55:cd:dc:1f:d7,HotspotXMRz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS],25/10/2024 02:23,6,2437,-77,31.991004,-102.1244259,819.8189101,4,,,WIFI
88:b5:ff:a5:f7:76,care-APCG0623LSXMN2N,[ESS],25/10/2024 02:24,6,2437,-88,31.991004,-102.1244259,819.6543932,4,,,WIFI
da:9c:67:18:f8:3c,DIRECT-3c-HP M426 LaserJet,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 02:24,6,2437,-87,31.9914255,-102.1245635,819.6543932,4,,,WIFI
22:ad:56:22:a5:d2,HotspotA5D2,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][ESS],25/10/2024 02:24,6,2437,-87,31.9918256,-102.1246942,819.6543932,4,,,WIFI
94:4e:5b:17:bf:c5,MyOptimum 17bfc1,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 02:25,161,5805,-82,31.991004,-102.1244259,820.4401612,4,,,WIFI
7c:fc:3c:b7:81:6c,Hotspot2aJ3,[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS],25/10/2024 02:25,6,2437,-76,31.9905462,-102.1242733,823.3228219,6,,,WIFI
42:60:a2:32:42:09,Galaxy A03s 9536,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 02:26,6,2437,-76,31.98975,-102.124008,823.3228219,6,,,WIFI
58:07:f8:34:62:4f,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 02:26,112,5560,-90,31.991004,-102.1244259,823.3228219,6,,,WIFI
58:07:f8:34:62:4c,LuRue,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 02:26,112,5560,-92,31.9909853,-102.1245798,823.3228219,6,,,WIFI
dc:8d:8a:78:99:2c,Diva Nails,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 02:27,161,5805,-87,31.9909759,-102.1247849,823.3228219,6,,,WIFI
b4:63:6f:11:a4:f5,Midkiff Guest,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 02:28,11,2462,-86,31.990935,-102.1249718,824.5998049,6,,,WIFI
f8:55:cd:e9:74:55,HotspothZeg,[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS],25/10/2024 02:29,161,5805,-90,31.990816,-102.125465,824.5998049,6,,,WIFI
42:60:a2:32:42:09,Galaxy A03s 9536,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 02:30,6,2437,-69,31.991004,-102.1244259,826.0044174,6,,,WIFI
26:a2:14:8e:66:f3,GMC3465,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS],25/10/2024 02:30,153,5765,-85,31.9910182,-102.124286,826.0044174,6,,,WIFI
26:5d:eb:8e:66:f3,GMC3465,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS],25/10/2024 02:30,6,2437,-71,31.991224,-102.123382,826.0044174,6,,,WIFI
28:38:5c:e6:3b:23,HotspottU2V,[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS],25/10/2024 02:30,157,5785,-90,31.990816,-102.125465,826.7179134,6,,,WIFI
7c:df:a1:ed:02:51,WF2_7cdfa1ed250,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],25/10/2024 02:30,1,2412,-85,31.98951,-102.125045,826.7179134,6,,,WIFI
0a:f0:21:91:f2:e7,Cricket-Guest,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 02:31,1,2412,-77,31.990816,-102.125465,826.7179134,6,,,WIFI
fa:6d:cc:9f:23:f2,BigMama,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 02:31,7,2442,-89,31.9906914,-102.1260074,827.6903355,4,,,WIFI
ac:df:9f:91:dd:69,TMOBILE-DD66,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS],25/10/2024 02:31,52,5260,-84,31.990518,-102.126746,827.6903355,4,,,WIFI
60:38:e0:96:6d:dd,Linksys06845,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 02:31,2,2417,-77,31.990816,-102.125465,827.6903355,4,,,WIFI
b4:77:48:57:4b:db,uconnectadpt,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS],25/10/2024 02:32,6,2437,-89,31.990935,-102.1249718,827.6903355,4,,,WIFI
ac:df:5d:98:dd:69,,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS],25/10/2024 02:32,52,5260,-82,31.9909759,-102.1247849,827.6903355,4,,,WIFI
26:a2:14:8e:66:f3,GMC3465,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS],25/10/2024 02:32,153,5765,-74,31.9909853,-102.1245798,827.7779818,4,,,WIFI
94:4e:5b:47:11:c4,MyOptimum 4711c1,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 02:32,6,2437,-85,31.991004,-102.1244259,827.8377864,4,,,WIFI
2a:38:5c:34:1b:21,PROJ341b21,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 02:33,149,5745,-90,31.990518,-102.126746,828.0938609,4,,,WIFI
58:07:f8:34:62:48,LuRue,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 02:33,48,5240,-79,31.9908664,-102.1269409,828.4099345,4,,,WIFI
28:38:5c:e6:3b:23,HotspottU2V,[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS],25/10/2024 02:34,157,5785,-84,31.991242,-102.127151,828.4099345,4,,,WIFI
58:07:f8:34:62:4c,LuRue,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 02:34,112,5560,-86,31.990518,-102.126746,828.4099345,4,,,WIFI
b4:63:6f:74:7d:54,ATTvCWTp7i,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 02:34,6,2437,-88,31.9904533,-102.1266951,828.8667543,6,,,WIFI
ac:df:9f:91:dd:69,TMOBILE-DD66,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS],25/10/2024 02:34,52,5260,-72,31.9903829,-102.1266046,828.8667543,6,,,WIFI
ac:df:9f:91:dd:68,TMOBILE-DD66,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS],25/10/2024 02:34,5,2432,-63,31.9903122,-102.1265249,828.8667543,6,,,WIFI
a8:fb:40:9f:f9:6c,ATTbjzdIFB,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 02:35,132,5660,-83,31.9902551,-102.1264635,828.8667543,6,,,WIFI
2a:38:5c:34:1b:21,PROJ341b21,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 02:35,149,5745,-84,31.990216,-102.1264269,828.8667543,6,,,WIFI
58:07:f8:34:62:44,LuRue,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 02:35,11,2462,-79,31.990187,-102.1264045,828.8667543,6,,,WIFI
74:78:a6:eb:93:00,DM1M1E8N6U,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 02:35,165,5825,-90,31.990142,-102.1263754,828.8667543,6,,,WIFI
fa:9e:38:70:84:91,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 02:35,44,5220,-82,31.9901035,-102.1263589,828.8667543,6,,,WIFI
58:07:f8:34:62:4f,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 02:36,112,5560,-82,31.9900205,-102.1263287,828.8667543,6,,,WIFI
58:07:f8:34:62:4c,LuRue,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 02:37,112,5560,-81,31.9899128,-102.1262936,828.8667543,6,,,WIFI
c8:c7:50:fd:ef:47,MOTO1FA0-5G,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 02:37,157,5785,-91,31.989421,-102.1261387,828.8667543,6,,,WIFI
c6:9e:38:70:84:91,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 02:38,44,5220,-81,31.9892643,-102.1260884,828.8667543,6,,,WIFI
ac:df:5d:98:dd:69,,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS],25/10/2024 02:38,52,5260,-75,31.990518,-102.126746,828.8667543,6,,,WIFI
dc:8d:8a:78:99:2c,Diva Nails,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 02:39,161,5805,-81,31.9906914,-102.1260074,828.8667543,6,,,WIFI
dc:8d:8a:78:99:2f,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 02:39,161,5805,-80,31.990816,-102.125465,828.8667543,6,,,WIFI
a8:fb:40:9f:f9:64,ATTbjzdIFB,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 02:40,6,2437,-67,32.00658,-102.116668,828.8667543,6,,,WIFI
9e:a3:a9:90:da:e2,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 02:40,8,2447,-66,32.008404,-102.117256,828.8667543,6,,,WIFI
b4:63:6f:11:a4:f8,ATTisG8hqs,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 02:40,48,5240,-85,32.00658,-102.116668,829.0635008,6,,,WIFI
a0:04:60:13:9e:6b,NETGEAR97-5G,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 02:40,153,5765,-83,32.0064713,-102.1171168,829.0635008,6,,,WIFI
b4:63:6f:11:a4:fc,ATTisG8hqs,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 02:40,161,5805,-89,32.006362,-102.117568,829.0635008,6,,,WIFI
c6:9e:28:70:84:91,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 02:41,1,2412,-81,32.00658,-102.116668,829.0635008,6,,,WIFI
f8:9e:28:70:84:91,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 02:42,1,2412,-84,32.0066836,-102.1162453,829.0635008,6,,,WIFI
c8:fe:0f:3c:8c:bf,carplay_wifi_1FBE,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 02:43,36,5180,-86,32.006694,-102.116203,829.0635008,6,,,WIFI
c8:c7:50:fd:ef:46,MOTO1FA0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 02:43,11,2462,-75,32.008404,-102.117256,829.0635008,6,,,WIFI
d6:1b:81:b8:c7:7c,DIRECT-7c-HP M227f LaserJet,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 02:44,4,2427,-80,32.00658,-102.116668,829.0635008,6,,,WIFI
